station_id,city,station_type,charger_count,avg_daily_capacity_kwh,baseline_utilization,peak_demand_factor,operational_reliability
ST0052,Bengaluru,Residential,9,1077.8,0.3129,1.2709,0.9796
ST0053,Bengaluru,Transit_Public,12,1329.7,0.346,0.9527,0.9599
ST0054,Bengaluru,Mall_Retail,12,1239.59,0.3049,1.1924,0.9791
ST0055,Hyderabad,Residential,8,879.84,0.3143,1.1831,0.9942
ST0056,Hyderabad,Office_Commercial,9,759.47,0.2745,1.2973,0.9463
ST0057,Hyderabad,Highway,12,1160.18,0.3608,0.8543,0.9822
ST0058,Hyderabad,Highway,13,1276.72,0.324,0.9188,0.9741
ST0059,Hyderabad,Mall_Retail,9,917.06,0.3008,1.1307,0.985
ST0060,Hyderabad,Transit_Public,8,1014.46,0.3025,1.1685,0.9588
ST0061,Hyderabad,Office_Commercial,8,927.1,0.3607,1.2509,0.9899
ST0062,Hyderabad,Residential,9,1006.68,0.3605,1.1943,0.995
ST0063,Hyderabad,Mall_Retail,6,616.3,0.4063,1.0634,0.9716
ST0064,Hyderabad,Highway,9,919.04,0.2139,0.7999,0.946
ST0065,Hyderabad,Residential,4,519.41,0.3415,1.1721,0.9488
ST0066,Hyderabad,Residential,6,511.93,0.3133,1.1123,0.9769
ST0067,Hyderabad,Highway,13,1623.07,0.2703,0.9111,0.9814
ST0068,Hyderabad,Office_Commercial,12,1426.06,0.3418,1.1936,0.9673
ST0069,Chennai,Office_Commercial,11,882.99,0.2824,1.2917,0.966
ST0070,Chennai,Office_Commercial,7,643.49,0.3558,1.0906,0.9506
ST0071,Chennai,Fleet,10,1186.05,0.2653,1.26,0.9657
ST0072,Chennai,Residential,9,776.22,0.3714,1.2562,0.969
ST0073,Chennai,Residential,8,702.09,0.3872,1.1574,0.9574
ST0074,Chennai,Mall_Retail,9,1039.46,0.2172,1.0289,0.9646
ST0075,Chennai,Office_Commercial,9,739.06,0.2231,1.2814,0.9544
ST0076,Chennai,Fleet,14,1184.2,0.2981,1.0535,0.9839
ST0077,Chennai,Fleet,13,1453.67,0.2418,1.1477,0.9764
ST0078,Chennai,Office_Commercial,7,665.47,0.3257,1.279,0.9898
ST0079,Chennai,Highway,11,961.64,0.37,0.8735,0.9867
ST0080,Chennai,Residential,8,687.69,0.2981,1.1779,0.995
ST0081,Chennai,Mall_Retail,12,1326.59,0.3156,1.1861,0.9573
ST0082,Chennai,Office_Commercial,6,545.29,0.3044,1.2751,0.9575
ST0083,Pune,Office_Commercial,12,1244.48,0.249,1.2133,0.9656
ST0084,Pune,Residential,8,920.8,0.3824,1.073,0.9752
ST0085,Pune,Mall_Retail,9,967.11,0.3271,1.1495,0.9649
ST0086,Pune,Highway,13,1373.28,0.2475,0.9005,0.995
ST0087,Pune,Mall_Retail,11,1166.15,0.3215,1.1465,0.9691
ST0088,Pune,Transit_Public,11,1151.78,0.2692,1.0844,0.9572
ST0089,Pune,Office_Commercial,6,564.18,0.3559,1.3368,0.9755
ST0090,Pune,Office_Commercial,6,702.81,0.3432,1.2253,0.984
ST0091,Pune,Residential,10,876.81,0.1966,1.0304,0.9905
ST0092,Pune,Mall_Retail,6,767.53,0.2728,0.9798,0.9255
ST0093,Pune,Office_Commercial,6,691.62,0.3421,1.2052,0.977
ST0094,Pune,Office_Commercial,12,1085.43,0.2982,1.258,0.9687
ST0095,Pune,Hotel,7,906.2,0.3561,0.8949,0.9835
ST0096,Pune,Highway,12,1044.96,0.2578,0.829,0.99
ST0097,Ahmedabad,Transit_Public,9,915.2,0.2574,1.1664,0.972
ST0098,Ahmedabad,Residential,7,877.49,0.3779,1.1211,0.9559
ST0099,Ahmedabad,Hotel,8,874.58,0.1901,1.001,0.9619
ST0100,Ahmedabad,Highway,8,977.44,0.15,0.8371,0.9447
ST0101,Ahmedabad,Transit_Public,11,911.96,0.2732,1.0297,0.9676
ST0102,Ahmedabad,Residential,8,977.79,0.2235,1.2065,0.9799
ST0103,Ahmedabad,Residential,6,752.87,0.3018,1.3128,0.9687
ST0104,Ahmedabad,Mall_Retail,9,944.47,0.2388,1.0174,0.9513
ST0105,Ahmedabad,Fleet,13,1450.04,0.2307,1.1943,0.975
ST0106,Ahmedabad,Mall_Retail,9,731.17,0.2381,1.172,0.9811
ST0107,Kolkata,Office_Commercial,10,803.66,0.3089,1.265,0.9483
ST0108,Kolkata,Office_Commercial,12,1549.08,0.2917,1.178,0.9728
ST0109,Kolkata,Hotel,8,928.28,0.3509,0.9298,0.9755
ST0110,Kolkata,Mall_Retail,10,857.05,0.2066,1.0765,0.9539
ST0111,Kolkata,Transit_Public,9,1156.42,0.2054,0.983,0.9735
ST0112,Kolkata,Hotel,7,822.49,0.2027,0.9699,0.995
ST0113,Kolkata,Highway,13,1358.3,0.1769,0.7975,0.9636
ST0114,Kolkata,Mall_Retail,8,804.63,0.3248,1.1193,0.9434
ST0115,Kolkata,Office_Commercial,6,757.41,0.3525,1.1998,0.9605
ST0116,Kolkata,Residential,9,741.91,0.3218,1.1858,0.9447
ST0117,Jaipur,Highway,11,1356.0,0.2781,0.7861,0.9767
ST0118,Jaipur,Office_Commercial,6,550.36,0.187,1.3071,0.9736
ST0119,Jaipur,Mall_Retail,6,683.19,0.2376,1.1026,0.974
ST0120,Jaipur,Hotel,7,795.06,0.2923,0.9073,0.9638
ST0121,Jaipur,Hotel,5,474.74,0.15,1.0789,0.995
ST0122,Jaipur,Highway,10,1243.28,0.15,0.8752,0.9657
ST0123,Jaipur,Mall_Retail,12,1444.46,0.2988,1.142,0.9476
ST0124,Jaipur,Residential,5,434.21,0.3872,1.1638,0.9649
ST0125,Jaipur,Fleet,8,838.77,0.1602,1.2132,0.9641
ST0126,Kochi,Residential,8,720.79,0.2455,1.2834,0.9534
ST0127,Kochi,Fleet,11,1111.21,0.2039,1.2142,0.9882
ST0128,Kochi,Office_Commercial,6,565.36,0.1545,1.2486,0.9565
ST0129,Kochi,Mall_Retail,8,851.82,0.1537,0.9707,0.9772
ST0130,Kochi,Mall_Retail,12,1139.63,0.15,1.1628,0.9741
ST0131,Kochi,Office_Commercial,11,1188.82,0.3061,1.2779,0.995
ST0132,Kochi,Mall_Retail,7,726.69,0.2793,1.0866,0.9823
ST0133,Kochi,Office_Commercial,12,1297.3,0.2247,1.2152,0.9628
ST0134,Chandigarh,Mall_Retail,12,1267.64,0.3499,1.0633,0.9636
ST0135,Chandigarh,Highway,16,1312.86,0.3171,0.7199,0.9576
ST0136,Chandigarh,Residential,7,740.63,0.15,1.0729,0.9563
ST0137,Chandigarh,Fleet,13,1079.34,0.2453,1.1175,0.9691
ST0138,Chandigarh,Mall_Retail,8,797.65,0.2014,1.0272,0.9784
ST0139,Chandigarh,Residential,5,400.31,0.2592,1.2061,0.9545
ST0140,Chandigarh,Highway,11,1117.23,0.2474,0.8027,0.9465
ST0141,Chandigarh,Highway,12,1105.49,0.1987,0.8923,0.9869
ST0142,Lucknow,Office_Commercial,11,1061.9,0.1602,1.1762,0.9919
ST0143,Lucknow,Mall_Retail,7,612.66,0.1816,1.0104,0.9767
ST0144,Lucknow,Hotel,8,643.7,0.2829,0.935,0.9742
ST0145,Lucknow,Fleet,14,1289.15,0.2984,1.0704,0.9363
ST0146,Lucknow,Highway,9,722.13,0.3213,0.8184,0.9421
ST0147,Lucknow,Fleet,9,1104.97,0.3579,1.2413,0.9644
ST0148,Lucknow,Mall_Retail,11,1211.88,0.2507,1.0761,0.9548
ST0149,Lucknow,Residential,10,1199.61,0.3182,1.0763,0.9828
ST0150,Lucknow,Fleet,14,1342.34,0.2766,1.3,0.9795
