charger_id,station_id,station_type,charger_type,power_kw,connector_type,availability_rate
ST0007-C05,ST0007,Office_Commercial,DC_Fast,50,CCS2,0.9558
ST0007-C06,ST0007,Office_Commercial,DC_Fast,60,CCS2,0.9597
ST0007-C07,ST0007,Office_Commercial,DC_Fast,30,CCS2,0.9463
ST0007-C08,ST0007,Office_Commercial,AC,22,Type2,0.9575
ST0007-C09,ST0007,Office_Commercial,DC_Ultra,150,CCS2,0.9574
ST0007-C10,ST0007,Office_Commercial,AC,22,Type2,0.9584
ST0008-C01,ST0008,Residential,AC,7,Type2,0.979
ST0008-C02,ST0008,Residential,DC_Fast,50,CCS2,0.9569
ST0008-C03,ST0008,Residential,DC_Fast,50,CCS2,0.9799
ST0008-C04,ST0008,Residential,AC,22,Type2,0.9653
ST0009-C01,ST0009,Fleet,DC_Fast,50,CCS2,0.995
ST0009-C02,ST0009,Fleet,DC_Fast,50,CCS2,0.9786
ST0009-C03,ST0009,Fleet,DC_Ultra,150,CCS2,0.9883
ST0009-C04,ST0009,Fleet,DC_Fast,50,CCS2,0.988
ST0009-C05,ST0009,Fleet,DC_Fast,60,CCS2,0.995
ST0009-C06,ST0009,Fleet,DC_Ultra,150,CCS2,0.995
ST0009-C07,ST0009,Fleet,DC_Ultra,120,CCS2,0.995
ST0009-C08,ST0009,Fleet,DC_Fast,50,CCS2,0.9924
ST0009-C09,ST0009,Fleet,DC_Fast,50,CCS2,0.995
ST0009-C10,ST0009,Fleet,AC,22,Type2,0.9938
ST0010-C01,ST0010,Mall_Retail,DC_Ultra,180,CCS2,0.9357
ST0010-C02,ST0010,Mall_Retail,AC,11,Type2,0.9333
ST0010-C03,ST0010,Mall_Retail,DC_Fast,30,CCS2,0.9476
ST0010-C04,ST0010,Mall_Retail,DC_Fast,60,CCS2,0.9328
ST0010-C05,ST0010,Mall_Retail,AC,7,Type2,0.9367
ST0010-C06,ST0010,Mall_Retail,AC,11,Type2,0.9338
ST0010-C07,ST0010,Mall_Retail,DC_Fast,50,CCS2,0.947
ST0010-C08,ST0010,Mall_Retail,DC_Ultra,150,CCS2,0.9239
ST0010-C09,ST0010,Mall_Retail,DC_Fast,50,CCS2,0.955
ST0011-C01,ST0011,Hotel,AC,11,Type2,0.9659
ST0011-C02,ST0011,Hotel,DC_Fast,60,CCS2,0.9714
ST0011-C03,ST0011,Hotel,DC_Fast,50,CCS2,0.9668
ST0011-C04,ST0011,Hotel,AC,7,Type2,0.966
ST0011-C05,ST0011,Hotel,AC,7,Type2,0.9698
ST0011-C06,ST0011,Hotel,DC_Fast,30,CCS2,0.9717
ST0011-C07,ST0011,Hotel,AC,22,Type2,0.9691
ST0011-C08,ST0011,Hotel,DC_Fast,50,CCS2,0.9683
ST0012-C01,ST0012,Highway,DC_Ultra,150,CCS2,0.9456
ST0012-C02,ST0012,Highway,DC_Ultra,180,CCS2,0.9566
ST0012-C03,ST0012,Highway,AC,22,Type2,0.9405
ST0012-C04,ST0012,Highway,DC_Fast,60,CCS2,0.9581
ST0012-C05,ST0012,Highway,DC_Fast,60,CCS2,0.9507
ST0012-C06,ST0012,Highway,DC_Fast,60,CCS2,0.9549
ST0012-C07,ST0012,Highway,DC_Fast,60,CCS2,0.9537
ST0012-C08,ST0012,Highway,DC_Fast,50,CCS2,0.9557
ST0012-C09,ST0012,Highway,AC,22,Type2,0.934
ST0012-C10,ST0012,Highway,DC_Fast,50,CCS2,0.9559
ST0013-C01,ST0013,Mall_Retail,AC,7,Type2,0.9824
ST0013-C02,ST0013,Mall_Retail,AC,22,Type2,0.9859
ST0013-C03,ST0013,Mall_Retail,DC_Fast,50,CCS2,0.9755
ST0013-C04,ST0013,Mall_Retail,DC_Fast,60,CCS2,0.9755
ST0013-C05,ST0013,Mall_Retail,AC,22,Type2,0.9696
ST0013-C06,ST0013,Mall_Retail,DC_Fast,50,CCS2,0.9664
ST0013-C07,ST0013,Mall_Retail,DC_Fast,60,CCS2,0.9626
ST0013-C08,ST0013,Mall_Retail,AC,22,Type2,0.9705
ST0013-C09,ST0013,Mall_Retail,DC_Fast,50,CCS2,0.978
ST0013-C10,ST0013,Mall_Retail,DC_Fast,60,CCS2,0.9778
ST0014-C01,ST0014,Residential,DC_Fast,50,CCS2,0.9458
ST0014-C02,ST0014,Residential,AC,7,Type2,0.958
ST0014-C03,ST0014,Residential,DC_Ultra,150,CCS2,0.9604
ST0014-C04,ST0014,Residential,DC_Fast,50,CCS2,0.9579
ST0014-C05,ST0014,Residential,AC,22,Type2,0.9588
ST0014-C06,ST0014,Residential,DC_Fast,50,CCS2,0.939
ST0014-C07,ST0014,Residential,DC_Fast,60,CCS2,0.9602
ST0014-C08,ST0014,Residential,DC_Fast,30,CCS2,0.9673
ST0015-C01,ST0015,Fleet,DC_Fast,30,CCS2,0.9645
ST0015-C02,ST0015,Fleet,DC_Fast,50,CCS2,0.9555
ST0015-C03,ST0015,Fleet,DC_Ultra,150,CCS2,0.9506
ST0015-C04,ST0015,Fleet,DC_Fast,60,CCS2,0.9581
ST0015-C05,ST0015,Fleet,DC_Fast,50,CCS2,0.9566
ST0015-C06,ST0015,Fleet,DC_Ultra,180,CCS2,0.9634
ST0015-C07,ST0015,Fleet,DC_Ultra,180,CCS2,0.9609
ST0015-C08,ST0015,Fleet,DC_Fast,60,CCS2,0.9549
ST0015-C09,ST0015,Fleet,DC_Fast,30,CCS2,0.9693
ST0015-C10,ST0015,Fleet,DC_Fast,50,CCS2,0.9574
ST0015-C11,ST0015,Fleet,DC_Fast,50,CCS2,0.9437
ST0016-C01,ST0016,Mall_Retail,AC,22,Type2,0.9656
ST0016-C02,ST0016,Mall_Retail,DC_Fast,60,CCS2,0.975
ST0016-C03,ST0016,Mall_Retail,DC_Fast,60,CCS2,0.9641
ST0016-C04,ST0016,Mall_Retail,AC,22,Type2,0.9755
ST0016-C05,ST0016,Mall_Retail,DC_Ultra,180,CCS2,0.9736
ST0016-C06,ST0016,Mall_Retail,DC_Fast,50,CCS2,0.968
ST0016-C07,ST0016,Mall_Retail,AC,22,Type2,0.976
ST0016-C08,ST0016,Mall_Retail,DC_Ultra,180,CCS2,0.9736
ST0017-C01,ST0017,Highway,AC,22,Type2,0.9524
ST0017-C02,ST0017,Highway,AC,22,Type2,0.9614
ST0017-C03,ST0017,Highway,AC,7,Type2,0.9446
ST0017-C04,ST0017,Highway,DC_Fast,30,CCS2,0.95
ST0017-C05,ST0017,Highway,DC_Ultra,150,CCS2,0.9515
ST0017-C06,ST0017,Highway,DC_Fast,60,CCS2,0.946
ST0017-C07,ST0017,Highway,DC_Ultra,150,CCS2,0.9437
ST0017-C08,ST0017,Highway,AC,7,Type2,0.9572
ST0017-C09,ST0017,Highway,DC_Ultra,180,CCS2,0.9397
ST0018-C01,ST0018,Highway,AC,11,Type2,0.9716
ST0018-C02,ST0018,Highway,DC_Fast,50,CCS2,0.9708
ST0018-C03,ST0018,Highway,AC,7,Type2,0.9788
ST0018-C04,ST0018,Highway,DC_Ultra,150,CCS2,0.9564
ST0018-C05,ST0018,Highway,DC_Ultra,150,CCS2,0.9655
ST0018-C06,ST0018,Highway,DC_Fast,60,CCS2,0.9713
ST0018-C07,ST0018,Highway,AC,11,Type2,0.971
ST0018-C08,ST0018,Highway,DC_Fast,50,CCS2,0.9848
ST0018-C09,ST0018,Highway,DC_Ultra,120,CCS2,0.9695
ST0019-C01,ST0019,Hotel,AC,7,Type2,0.97
ST0019-C02,ST0019,Hotel,AC,11,Type2,0.9829
ST0019-C03,ST0019,Hotel,DC_Fast,50,CCS2,0.995
ST0019-C04,ST0019,Hotel,DC_Fast,50,CCS2,0.9789
ST0019-C05,ST0019,Hotel,AC,11,Type2,0.9833
ST0019-C06,ST0019,Hotel,AC,11,Type2,0.9881
ST0020-C01,ST0020,Residential,AC,11,Type2,0.9631
ST0020-C02,ST0020,Residential,DC_Fast,60,CCS2,0.9562
ST0020-C03,ST0020,Residential,AC,11,Type2,0.9502
ST0020-C04,ST0020,Residential,AC,22,Type2,0.955
ST0020-C05,ST0020,Residential,AC,22,Type2,0.9569
ST0020-C06,ST0020,Residential,AC,22,Type2,0.9545
ST0021-C01,ST0021,Mall_Retail,AC,22,Type2,0.9523
ST0021-C02,ST0021,Mall_Retail,AC,11,Type2,0.9715
ST0021-C03,ST0021,Mall_Retail,AC,11,Type2,0.9523
ST0021-C04,ST0021,Mall_Retail,AC,11,Type2,0.96
ST0021-C05,ST0021,Mall_Retail,DC_Fast,60,CCS2,0.9678
ST0021-C06,ST0021,Mall_Retail,AC,11,Type2,0.968
ST0022-C01,ST0022,Transit_Public,DC_Fast,30,CCS2,0.9741
ST0022-C02,ST0022,Transit_Public,DC_Fast,60,CCS2,0.9926
ST0022-C03,ST0022,Transit_Public,DC_Fast,50,CCS2,0.9725
ST0022-C04,ST0022,Transit_Public,AC,22,Type2,0.9781
ST0022-C05,ST0022,Transit_Public,AC,11,Type2,0.9761
ST0022-C06,ST0022,Transit_Public,DC_Fast,30,CCS2,0.9807
ST0023-C01,ST0023,Hotel,AC,7,Type2,0.995
ST0023-C02,ST0023,Hotel,AC,11,Type2,0.995
ST0023-C03,ST0023,Hotel,AC,11,Type2,0.9848
ST0023-C04,ST0023,Hotel,AC,7,Type2,0.9845
ST0023-C05,ST0023,Hotel,DC_Ultra,150,CCS2,0.9897
ST0023-C06,ST0023,Hotel,AC,22,Type2,0.9898
ST0024-C01,ST0024,Residential,AC,22,Type2,0.9686
ST0024-C02,ST0024,Residential,AC,22,Type2,0.9633
ST0024-C03,ST0024,Residential,AC,22,Type2,0.9593
ST0024-C04,ST0024,Residential,AC,11,Type2,0.9652
ST0024-C05,ST0024,Residential,DC_Fast,30,CCS2,0.9687
ST0024-C06,ST0024,Residential,AC,22,Type2,0.9697
ST0024-C07,ST0024,Residential,DC_Fast,30,CCS2,0.9765
ST0025-C01,ST0025,Highway,DC_Fast,60,CCS2,0.9644
ST0025-C02,ST0025,Highway,AC,22,Type2,0.9813
ST0025-C03,ST0025,Highway,DC_Ultra,180,CCS2,0.9894
ST0025-C04,ST0025,Highway,DC_Fast,60,CCS2,0.9743
ST0025-C05,ST0025,Highway,DC_Fast,50,CCS2,0.9856
ST0025-C06,ST0025,Highway,DC_Fast,60,CCS2,0.9739
ST0025-C07,ST0025,Highway,AC,7,Type2,0.995
ST0025-C08,ST0025,Highway,DC_Fast,60,CCS2,0.9803
ST0025-C09,ST0025,Highway,DC_Ultra,120,CCS2,0.9735
ST0025-C10,ST0025,Highway,DC_Fast,60,CCS2,0.9795
ST0025-C11,ST0025,Highway,DC_Ultra,180,CCS2,0.9856
ST0025-C12,ST0025,Highway,DC_Fast,60,CCS2,0.9878
ST0025-C13,ST0025,Highway,DC_Fast,60,CCS2,0.9939
ST0025-C14,ST0025,Highway,DC_Ultra,150,CCS2,0.9786
ST0026-C01,ST0026,Residential,DC_Fast,60,CCS2,0.9586
ST0026-C02,ST0026,Residential,DC_Fast,60,CCS2,0.9708
ST0026-C03,ST0026,Residential,AC,7,Type2,0.9602
ST0026-C04,ST0026,Residential,AC,11,Type2,0.9616
ST0026-C05,ST0026,Residential,AC,7,Type2,0.9673
ST0026-C06,ST0026,Residential,AC,22,Type2,0.9689
ST0026-C07,ST0026,Residential,DC_Fast,50,CCS2,0.9618
ST0026-C08,ST0026,Residential,DC_Fast,50,CCS2,0.9568
ST0027-C01,ST0027,Office_Commercial,DC_Fast,30,CCS2,0.9638
ST0027-C02,ST0027,Office_Commercial,AC,22,Type2,0.9652
ST0027-C03,ST0027,Office_Commercial,DC_Fast,60,CCS2,0.961
ST0027-C04,ST0027,Office_Commercial,AC,11,Type2,0.9585
ST0027-C05,ST0027,Office_Commercial,DC_Fast,50,CCS2,0.9458
ST0027-C06,ST0027,Office_Commercial,AC,11,Type2,0.9565
ST0027-C07,ST0027,Office_Commercial,AC,11,Type2,0.9582
ST0027-C08,ST0027,Office_Commercial,DC_Fast,50,CCS2,0.9508
ST0027-C09,ST0027,Office_Commercial,AC,7,Type2,0.9622
ST0028-C01,ST0028,Mall_Retail,DC_Fast,50,CCS2,0.9576
ST0028-C02,ST0028,Mall_Retail,DC_Fast,50,CCS2,0.9332
ST0028-C03,ST0028,Mall_Retail,AC,11,Type2,0.9559
ST0028-C04,ST0028,Mall_Retail,DC_Fast,50,CCS2,0.9432
ST0028-C05,ST0028,Mall_Retail,DC_Ultra,150,CCS2,0.9565
ST0028-C06,ST0028,Mall_Retail,DC_Fast,60,CCS2,0.9568
ST0028-C07,ST0028,Mall_Retail,DC_Fast,50,CCS2,0.9568
ST0028-C08,ST0028,Mall_Retail,AC,22,Type2,0.9602
ST0028-C09,ST0028,Mall_Retail,DC_Ultra,150,CCS2,0.9637
ST0028-C10,ST0028,Mall_Retail,AC,22,Type2,0.9502
ST0029-C01,ST0029,Office_Commercial,AC,7,Type2,0.9495
ST0029-C02,ST0029,Office_Commercial,DC_Fast,50,CCS2,0.9556
ST0029-C03,ST0029,Office_Commercial,AC,11,Type2,0.9552
ST0029-C04,ST0029,Office_Commercial,DC_Fast,30,CCS2,0.9567
ST0029-C05,ST0029,Office_Commercial,DC_Ultra,120,CCS2,0.9494
ST0029-C06,ST0029,Office_Commercial,DC_Fast,50,CCS2,0.9617
ST0029-C07,ST0029,Office_Commercial,AC,11,Type2,0.9624
ST0029-C08,ST0029,Office_Commercial,AC,7,Type2,0.9628
ST0029-C09,ST0029,Office_Commercial,DC_Ultra,180,CCS2,0.9571
ST0029-C10,ST0029,Office_Commercial,AC,11,Type2,0.9475
ST0029-C11,ST0029,Office_Commercial,AC,11,Type2,0.9627
ST0030-C01,ST0030,Residential,DC_Fast,50,CCS2,0.9864
ST0030-C02,ST0030,Residential,DC_Fast,50,CCS2,0.9808
ST0030-C03,ST0030,Residential,AC,7,Type2,0.9657
ST0030-C04,ST0030,Residential,AC,22,Type2,0.9752
ST0030-C05,ST0030,Residential,AC,7,Type2,0.9732
ST0030-C06,ST0030,Residential,AC,22,Type2,0.976
ST0031-C01,ST0031,Residential,AC,11,Type2,0.9527
ST0031-C02,ST0031,Residential,AC,7,Type2,0.975
ST0031-C03,ST0031,Residential,AC,11,Type2,0.9717
ST0031-C04,ST0031,Residential,AC,22,Type2,0.9605
ST0031-C05,ST0031,Residential,AC,7,Type2,0.9652
ST0031-C06,ST0031,Residential,AC,11,Type2,0.984
ST0032-C01,ST0032,Office_Commercial,DC_Ultra,150,CCS2,0.9693
ST0032-C02,ST0032,Office_Commercial,AC,7,Type2,0.9584
ST0032-C03,ST0032,Office_Commercial,DC_Fast,60,CCS2,0.9824
ST0032-C04,ST0032,Office_Commercial,AC,11,Type2,0.9706
ST0032-C05,ST0032,Office_Commercial,DC_Fast,50,CCS2,0.9687
ST0032-C06,ST0032,Office_Commercial,DC_Fast,30,CCS2,0.9599
ST0032-C07,ST0032,Office_Commercial,AC,7,Type2,0.9691
ST0032-C08,ST0032,Office_Commercial,AC,22,Type2,0.9682
ST0032-C09,ST0032,Office_Commercial,AC,7,Type2,0.983
ST0032-C10,ST0032,Office_Commercial,AC,11,Type2,0.9687
ST0032-C11,ST0032,Office_Commercial,AC,22,Type2,0.969
ST0033-C01,ST0033,Residential,AC,7,Type2,0.9566
ST0033-C02,ST0033,Residential,AC,22,Type2,0.9525
ST0033-C03,ST0033,Residential,AC,11,Type2,0.962
ST0033-C04,ST0033,Residential,AC,22,Type2,0.9538
ST0033-C05,ST0033,Residential,AC,11,Type2,0.9448
ST0034-C01,ST0034,Residential,AC,11,Type2,0.9629
ST0034-C02,ST0034,Residential,DC_Fast,60,CCS2,0.9665
ST0034-C03,ST0034,Residential,DC_Fast,50,CCS2,0.9595
ST0034-C04,ST0034,Residential,AC,22,Type2,0.9613
ST0034-C05,ST0034,Residential,DC_Fast,50,CCS2,0.9667
ST0034-C06,ST0034,Residential,DC_Ultra,180,CCS2,0.9607
ST0034-C07,ST0034,Residential,AC,7,Type2,0.9552
ST0035-C01,ST0035,Mall_Retail,DC_Fast,60,CCS2,0.9942
ST0035-C02,ST0035,Mall_Retail,DC_Fast,30,CCS2,0.9787
ST0035-C03,ST0035,Mall_Retail,DC_Ultra,180,CCS2,0.9745
ST0035-C04,ST0035,Mall_Retail,DC_Fast,30,CCS2,0.9931
ST0035-C05,ST0035,Mall_Retail,DC_Fast,60,CCS2,0.979
ST0035-C06,ST0035,Mall_Retail,DC_Fast,60,CCS2,0.982
ST0035-C07,ST0035,Mall_Retail,DC_Fast,60,CCS2,0.981
ST0036-C01,ST0036,Highway,DC_Fast,60,CCS2,0.9415
ST0036-C02,ST0036,Highway,DC_Fast,30,CCS2,0.9489
ST0036-C03,ST0036,Highway,DC_Fast,60,CCS2,0.9439
ST0036-C04,ST0036,Highway,DC_Fast,50,CCS2,0.9387
ST0036-C05,ST0036,Highway,DC_Fast,50,CCS2,0.9447
ST0036-C06,ST0036,Highway,DC_Fast,50,CCS2,0.9516
ST0036-C07,ST0036,Highway,DC_Ultra,150,CCS2,0.9552
ST0036-C08,ST0036,Highway,DC_Fast,50,CCS2,0.9343
ST0036-C09,ST0036,Highway,DC_Fast,30,CCS2,0.9493
ST0036-C10,ST0036,Highway,DC_Fast,50,CCS2,0.9486
ST0036-C11,ST0036,Highway,DC_Fast,60,CCS2,0.9512
ST0036-C12,ST0036,Highway,DC_Fast,60,CCS2,0.9405
ST0036-C13,ST0036,Highway,DC_Fast,60,CCS2,0.9407
ST0036-C14,ST0036,Highway,DC_Ultra,120,CCS2,0.9594
ST0036-C15,ST0036,Highway,DC_Fast,50,CCS2,0.9294
ST0037-C01,ST0037,Hotel,DC_Fast,50,CCS2,0.9702
ST0037-C02,ST0037,Hotel,DC_Fast,50,CCS2,0.9648
ST0037-C03,ST0037,Hotel,AC,11,Type2,0.9779
ST0037-C04,ST0037,Hotel,AC,22,Type2,0.9898
ST0037-C05,ST0037,Hotel,AC,22,Type2,0.9936
ST0037-C06,ST0037,Hotel,AC,22,Type2,0.9669
ST0037-C07,ST0037,Hotel,DC_Fast,50,CCS2,0.9685
ST0038-C01,ST0038,Mall_Retail,AC,22,Type2,0.9631
ST0038-C02,ST0038,Mall_Retail,DC_Fast,50,CCS2,0.9817
ST0038-C03,ST0038,Mall_Retail,DC_Fast,50,CCS2,0.9683
ST0038-C04,ST0038,Mall_Retail,AC,22,Type2,0.9718
ST0038-C05,ST0038,Mall_Retail,DC_Fast,60,CCS2,0.9695
ST0038-C06,ST0038,Mall_Retail,DC_Ultra,150,CCS2,0.9694
ST0039-C01,ST0039,Fleet,DC_Fast,60,CCS2,0.995
ST0039-C02,ST0039,Fleet,DC_Fast,50,CCS2,0.995
ST0039-C03,ST0039,Fleet,DC_Fast,50,CCS2,0.9922
ST0039-C04,ST0039,Fleet,DC_Fast,30,CCS2,0.9716
ST0039-C05,ST0039,Fleet,DC_Ultra,180,CCS2,0.9658
ST0039-C06,ST0039,Fleet,DC_Fast,50,CCS2,0.995
ST0039-C07,ST0039,Fleet,DC_Ultra,180,CCS2,0.9857
ST0039-C08,ST0039,Fleet,DC_Fast,30,CCS2,0.995
ST0039-C09,ST0039,Fleet,DC_Fast,60,CCS2,0.995
ST0039-C10,ST0039,Fleet,DC_Fast,60,CCS2,0.995
ST0039-C11,ST0039,Fleet,DC_Fast,50,CCS2,0.995
ST0039-C12,ST0039,Fleet,AC,11,Type2,0.9941
ST0039-C13,ST0039,Fleet,DC_Fast,30,CCS2,0.9841
ST0040-C01,ST0040,Highway,DC_Fast,50,CCS2,0.9551
ST0040-C02,ST0040,Highway,AC,22,Type2,0.9563
ST0040-C03,ST0040,Highway,DC_Fast,30,CCS2,0.9421
ST0040-C04,ST0040,Highway,DC_Fast,60,CCS2,0.9509
ST0040-C05,ST0040,Highway,DC_Fast,50,CCS2,0.9603
ST0040-C06,ST0040,Highway,DC_Fast,60,CCS2,0.9677
ST0040-C07,ST0040,Highway,DC_Fast,60,CCS2,0.9524
ST0040-C08,ST0040,Highway,DC_Ultra,150,CCS2,0.9594
ST0040-C09,ST0040,Highway,DC_Fast,50,CCS2,0.9543
ST0040-C10,ST0040,Highway,DC_Ultra,150,CCS2,0.9528
ST0040-C11,ST0040,Highway,DC_Fast,50,CCS2,0.95
ST0040-C12,ST0040,Highway,DC_Ultra,150,CCS2,0.9533
ST0040-C13,ST0040,Highway,DC_Fast,30,CCS2,0.9587
ST0040-C14,ST0040,Highway,DC_Fast,50,CCS2,0.9593
ST0040-C15,ST0040,Highway,DC_Ultra,120,CCS2,0.9434
ST0041-C01,ST0041,Office_Commercial,AC,7,Type2,0.9812
ST0041-C02,ST0041,Office_Commercial,DC_Fast,50,CCS2,0.9866
ST0041-C03,ST0041,Office_Commercial,DC_Fast,60,CCS2,0.9872
ST0041-C04,ST0041,Office_Commercial,AC,11,Type2,0.967
ST0041-C05,ST0041,Office_Commercial,DC_Fast,60,CCS2,0.9665
ST0041-C06,ST0041,Office_Commercial,AC,7,Type2,0.9839
ST0042-C01,ST0042,Hotel,AC,7,Type2,0.9698
ST0042-C02,ST0042,Hotel,DC_Ultra,180,CCS2,0.9819
ST0042-C03,ST0042,Hotel,AC,11,Type2,0.9804
ST0042-C04,ST0042,Hotel,DC_Fast,60,CCS2,0.9664
ST0043-C01,ST0043,Residential,AC,22,Type2,0.9624
ST0043-C02,ST0043,Residential,AC,22,Type2,0.9732
ST0043-C03,ST0043,Residential,AC,11,Type2,0.9613
ST0043-C04,ST0043,Residential,AC,7,Type2,0.9735
ST0043-C05,ST0043,Residential,AC,7,Type2,0.9732
ST0043-C06,ST0043,Residential,DC_Fast,50,CCS2,0.9711
ST0043-C07,ST0043,Residential,DC_Fast,50,CCS2,0.9686
ST0043-C08,ST0043,Residential,DC_Fast,60,CCS2,0.9671
ST0044-C01,ST0044,Fleet,AC,22,Type2,0.9841
ST0044-C02,ST0044,Fleet,DC_Fast,30,CCS2,0.9714
ST0044-C03,ST0044,Fleet,DC_Ultra,180,CCS2,0.9731
ST0044-C04,ST0044,Fleet,DC_Ultra,180,CCS2,0.9693
ST0044-C05,ST0044,Fleet,DC_Fast,30,CCS2,0.9603
ST0044-C06,ST0044,Fleet,DC_Ultra,120,CCS2,0.9704
ST0044-C07,ST0044,Fleet,DC_Fast,50,CCS2,0.9727
ST0044-C08,ST0044,Fleet,DC_Fast,50,CCS2,0.974
ST0044-C09,ST0044,Fleet,DC_Ultra,180,CCS2,0.9824
ST0044-C10,ST0044,Fleet,DC_Fast,30,CCS2,0.9766
ST0044-C11,ST0044,Fleet,DC_Fast,60,CCS2,0.9825
ST0044-C12,ST0044,Fleet,DC_Fast,50,CCS2,0.9775
ST0044-C13,ST0044,Fleet,DC_Fast,30,CCS2,0.9768
ST0045-C01,ST0045,Highway,DC_Fast,50,CCS2,0.9931
ST0045-C02,ST0045,Highway,DC_Ultra,120,CCS2,0.995
ST0045-C03,ST0045,Highway,DC_Ultra,120,CCS2,0.9921
ST0045-C04,ST0045,Highway,DC_Ultra,150,CCS2,0.9871
ST0045-C05,ST0045,Highway,DC_Fast,30,CCS2,0.995
ST0045-C06,ST0045,Highway,DC_Fast,50,CCS2,0.9931
ST0045-C07,ST0045,Highway,DC_Ultra,120,CCS2,0.9928
ST0045-C08,ST0045,Highway,DC_Ultra,180,CCS2,0.9942
ST0046-C01,ST0046,Residential,AC,22,Type2,0.9802
ST0046-C02,ST0046,Residential,DC_Fast,50,CCS2,0.9794
ST0046-C03,ST0046,Residential,DC_Fast,50,CCS2,0.9694
ST0046-C04,ST0046,Residential,AC,11,Type2,0.9691
ST0047-C01,ST0047,Office_Commercial,DC_Fast,30,CCS2,0.995
ST0047-C02,ST0047,Office_Commercial,AC,22,Type2,0.995
